    1/resolution    CC
    0.200853709     0.843267956
    0.201082219     0.842755599
    0.201296261     0.843169028
    0.201489474     0.843977779
    0.201673775     0.844079297
    0.201849598     0.844454610
    0.202115972     0.845125772
    0.202365373     0.845122718
    0.202546840     0.845613370
    0.202733881     0.846183440
    0.202958894     0.846933661
    0.203155028     0.847082628
    0.203398968     0.847962175
    0.203642270     0.847918835
    0.203824041     0.847484265
    0.203984559     0.847331931
    0.204210779     0.847263905
    0.204435683     0.847489723
    0.204638776     0.848092697
    0.204835339     0.848076721
    0.205000157     0.848186583
    0.205202258     0.848055233
    0.205456348     0.848990389
    0.205649138     0.848811303
    0.205816999     0.849195748
    0.206005261     0.849873309
    0.206208297     0.849876792
    0.206445032     0.850758091
    0.206749157     0.851005850
    0.206965671     0.851183066
    0.207137657     0.851587412
    0.207322842     0.852167441
    0.207493389     0.852396555
    0.207679799     0.852987684
    0.207931717     0.853170729
    0.208146678     0.852851683
    0.208316438     0.853584878
    0.208488676     0.853807653
    0.208704682     0.853440946
    0.208937629     0.854126174
    0.209135645     0.854287473
    0.209355089     0.854795071
    0.209568578     0.855716436
    0.209768022     0.856124617
    0.209955722     0.857027782
    0.210156494     0.857074127
    0.210337970     0.857881933
    0.210508744     0.858088751
    0.210676884     0.858778836
    0.210874393     0.859015300
    0.211075721     0.859971759
    0.211286303     0.860214014
    0.211482231     0.860957068
    0.211664350     0.860731109
    0.211883115     0.861642207
    0.212069436     0.862521068
    0.212256275     0.862500044
    0.212406444     0.862842916
    0.212595907     0.863425758
    0.212792537     0.863977127
    0.212961209     0.864876886
    0.213187304     0.864655013
    0.213409052     0.864562719
    0.213634945     0.864926232
    0.213859239     0.864979834
    0.214073105     0.865128931
    0.214240250     0.865454849
    0.214405761     0.865948560
    0.214559197     0.866373451
    0.214721476     0.866094353
    0.214897805     0.866820785
    0.215105680     0.866249475
    0.215286608     0.866103504
    0.215472924     0.866155811
    0.215669622     0.866172871
    0.215888734     0.865700283
    0.216083571     0.865449944
    0.216237854     0.865291965
    0.216422503     0.864785876
    0.216601197     0.864698939
    0.216762323     0.864607680
    0.216970499     0.863959906
    0.217152191     0.864099787
    0.217332672     0.863657577
    0.217527143     0.863763079
    0.217677570     0.864200804
    0.217855057     0.864280481
    0.218019690     0.863996187
    0.218208129     0.864317834
    0.218385463     0.864059413
    0.218566768     0.864281561
    0.218735043     0.863697969
    0.218929403     0.864050568
    0.219129350     0.864389616
    0.219355039     0.864008587
    0.219565840     0.863708172
    0.219723743     0.863678837
    0.219905322     0.863292586
    0.220072479     0.862829867
    0.220293836     0.863120627
    0.220446002     0.862319215
    0.220603991     0.862828383
