    1/resolution    CC
    0.290517756     0.328574253
    0.290811083     0.325044305
    0.291074600     0.323422543
    0.291323950     0.323262416
    0.291625937     0.320745146
    0.291887821     0.319065991
    0.292092044     0.317225614
    0.292293068     0.316068225
    0.292541520     0.312208276
    0.292781906     0.311012799
    0.292996577     0.307267346
    0.293197861     0.305118323
    0.293431709     0.302646930
    0.293667955     0.298913200
    0.293963001     0.298124680
    0.294258764     0.295692668
    0.294570432     0.291978585
    0.294823148     0.290207258
    0.295102629     0.289074027
    0.295323810     0.285225487
    0.295545461     0.282565742
    0.295750244     0.280814982
    0.296069066     0.277911065
    0.296338949     0.275835133
    0.296591680     0.272575386
    0.296860414     0.270502519
    0.297126802     0.268845253
    0.297451593     0.266501340
    0.297675149     0.263549203
    0.297899969     0.259849806
    0.298126517     0.255682507
    0.298409448     0.251473330
    0.298684206     0.249737584
    0.298903057     0.245920566
    0.299208198     0.243428704
    0.299484233     0.240352061
    0.299754117     0.236681534
    0.299971642     0.235282644
    0.300252119     0.233373728
    0.300461143     0.231443048
    0.300631197     0.228030974
    0.300837992     0.227590388
    0.301038587     0.227436740
    0.301319850     0.223979964
    0.301579947     0.222903688
    0.301818904     0.222598703
    0.302042418     0.219499865
    0.302273717     0.214848878
    0.302532360     0.211591493
    0.302837815     0.207565105
    0.303136563     0.205688350
    0.303359632     0.205292917
    0.303549837     0.202356948
    0.303777423     0.199526441
    0.303998145     0.196792216
    0.304203835     0.195347160
    0.304427063     0.192490606
    0.304645244     0.190077607
    0.304869624     0.190544563
    0.305123454     0.188239144
    0.305360658     0.186446282
    0.305586832     0.184943672
    0.305831145     0.181555836
    0.306087481     0.181649052
    0.306341470     0.181248073
    0.306597387     0.177042189
    0.306853390     0.176106663
    0.307090318     0.175337065
    0.307285849     0.173641403
    0.307597514     0.172919682
    0.307809708     0.170779888
    0.308075169     0.169177059
    0.308287405     0.168564020
    0.308498187     0.166724975
    0.308689580     0.165810042
    0.308889592     0.163635070
    0.309183604     0.164700937
    0.309386670     0.161713711
    0.309582052     0.160208520
    0.309790398     0.158960867
    0.310071517     0.157698803
    0.310288372     0.155118011
    0.310488086     0.155608433
    0.310723275     0.154438079
    0.310928758     0.154425854
    0.311153720     0.153644373
    0.311429664     0.153391818
    0.311697752     0.153458974
    0.311906938     0.154259576
    0.312114691     0.152253701
    0.312378003     0.148326332
    0.312580805     0.147333744
    0.312769077     0.144399974
    0.313061583     0.143722308
    0.313279361     0.143034548
    0.313479991     0.141764389
    0.313723522     0.140398528
    0.313970111     0.139151198
    0.314195443     0.136466843
