    1/resolution    CC
    0.290371693     0.013990029
    0.290655242     0.015847319
    0.290907341     0.016394135
    0.291149279     0.020927990
    0.291353795     0.018345558
    0.291596528     0.019078345
    0.291838557     0.019280765
    0.292125011     0.020215051
    0.292331511     0.022519532
    0.292542795     0.022047068
    0.292801064     0.021985132
    0.293053300     0.023622473
    0.293315527     0.024777701
    0.293556125     0.029260989
    0.293789365     0.029511032
    0.294015940     0.030920060
    0.294240741     0.033255502
    0.294470449     0.031377623
    0.294681292     0.032212008
    0.295000954     0.033082656
    0.295230529     0.031794833
    0.295496865     0.029383467
    0.295730225     0.029821266
    0.295982545     0.028371288
    0.296296564     0.029073561
    0.296608946     0.025338462
    0.296799756     0.025733446
    0.296992998     0.023601684
    0.297238603     0.026074970
    0.297416076     0.026172148
    0.297626154     0.025713728
    0.297970631     0.023836828
    0.298245567     0.023744205
    0.298487413     0.023169723
    0.298709842     0.024359747
    0.298925756     0.023007172
    0.299154512     0.021796043
    0.299342398     0.020322753
    0.299551487     0.020645200
    0.299754279     0.019045308
    0.299953106     0.017739711
    0.300162971     0.019446211
    0.300430373     0.016672299
    0.300690274     0.014112043
    0.300993104     0.012716639
    0.301194664     0.014576260
    0.301382018     0.010391125
    0.301595462     0.010157107
    0.301849340     0.009177067
    0.302089597     0.007032848
    0.302353448     0.004013967
    0.302615042     0.002067794
    0.302837646     0.000063524
    0.303090882    -0.005789823
    0.303304479    -0.009729930
    0.303504238    -0.011125224
    0.303716053    -0.013030006
    0.303915377    -0.015360606
    0.304101302    -0.019252786
    0.304400770    -0.021137034
    0.304632061    -0.023791045
    0.304858324    -0.026572558
    0.305092637    -0.026625946
    0.305315263    -0.026329831
    0.305561058    -0.026022913
    0.305764539    -0.027197810
    0.306005980    -0.027227418
    0.306241648    -0.028311389
    0.306503342    -0.029125320
    0.306707947    -0.028652676
    0.306880852    -0.030680032
    0.307039906    -0.033519635
    0.307304827    -0.033277006
    0.307577949    -0.035298191
    0.307883676    -0.035133701
    0.308050749    -0.035044746
    0.308225212    -0.035471119
    0.308441914    -0.037205050
    0.308672848    -0.036617624
    0.308947733    -0.036153069
    0.309137519    -0.036519420
    0.309335214    -0.037249933
    0.309567431    -0.037592881
    0.309756850    -0.035763052
    0.309973662    -0.033130839
    0.310178202    -0.031023965
    0.310401866    -0.031530449
    0.310600708    -0.028782014
    0.310827803    -0.027550275
    0.311001970    -0.024898957
    0.311211112    -0.022472475
    0.311459951    -0.019715900
    0.311714229    -0.017662324
    0.311948882    -0.016908778
    0.312145705    -0.016209903
    0.312356420    -0.013776165
    0.312552668    -0.014297251
    0.312776022    -0.012510104
    0.312981587    -0.011572941
    0.313155946    -0.009952773
    0.313329856    -0.009754659
    0.313562175    -0.005300052
    0.313816718    -0.004087005
    0.314043405    -0.003020055
    0.314273892    -0.001752667
    0.314499730     0.001328464
    0.314667759     0.003657862
    0.314906025     0.004408956
    0.315090177     0.006714381
    0.315316950     0.007521845
    0.315550558     0.010015733
    0.315810825     0.011527791
    0.316009844     0.011199184
    0.316215867     0.015910771
    0.316438929     0.017905900
    0.316644625     0.020525299
    0.316873767     0.020975013
    0.317063005     0.024887691
    0.317259710     0.025976271
    0.317472179     0.023853088
    0.317709798     0.024702071
    0.317938650     0.026800024
    0.318205260     0.028450116
    0.318417157     0.028765664
    0.318595778     0.029950186
    0.318773922     0.030711709
    0.318918134     0.031094544
    0.319093741     0.030489692
    0.319357132     0.032114731
    0.319573762     0.030989555
    0.319823646     0.032187196
    0.320002323     0.034688888
    0.320164246     0.035308262
    0.320357823     0.035929461
    0.320527488     0.036535514
    0.320768529     0.033467670
    0.320976002     0.030991890
